languagename,soucelanguagename,isocode,genus,family,latitude,leafletlatitude,longitude,leafletlongitude,orderofdemnuman,table3,table4,table5,table6,table7,table8,table9,table10,table13and13b
Chakali,Chakali,cli,Southern-Central Gur,Niger-Congo,9d55 N,9.91666666666667,1d55 W,-1.91666666666667,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Ega,Ega,ega,Ega,Niger-Congo,5d30 N,5.5,5d30 W,-5.5,N-A-Dem-Num,,,,,,,,,
Baga Sitemu,Baga Sitemu,bsp,Mel,Niger-Congo,10d30 N,10.5,14d30 W,-14.5,N-Dem-A-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj further from noun than Dem,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Mani,Mani,buy,Mel,Niger-Congo,9d N,9,13d10 W,-13.1666666666667,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Kisi,Kisi,kss,Mel,Niger-Congo,8d50 N,8.83333333333333,10d10 W,-10.1666666666667,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Fula (Nigerian),Fula (Nigerian),fuv,Peul-Serer,Niger-Congo,10d15 N,10.25,11d15 E,11.25,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Fula (Cameroonian),Fula (Cameroonian),fub,Peul-Serer,Niger-Congo,9d10 N,9.16666666666667,13d30 E,13.5,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Wolof,Wolof,wof,Wolof,Niger-Congo,15d15 N,15.25,16d W,-16,Num-N-A-Dem,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Ndut,Ndut,ndv,Cangin,Niger-Congo,14d55 N,14.9166666666667,16d55 W,-16.9166666666667,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Noon,Noon,snf,Cangin,Niger-Congo,14d50 N,14.8333333333333,16d50 W,-16.8333333333333,N-Dem-A-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj further from noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Basari,Basari,bsc,Tenda,Niger-Congo,12d40 N,12.6666666666667,13d W,-13,N-Num-A-Dem,,,,,,,,,
Diola-Fogny,Diola-Fogny,dyo,Bak,Niger-Congo,13d N,13,16d15 W,-16.25,N-Dem-A-Num,,,,,,,,,
Ijo (Kolokuma),Ijo (Kolokuma),ijc,Ijoid,Ijoid,4d55 N,4.91666666666667,5d40 E,5.66666666666667,,,,,,Adj is verb & AdjN,,,,Adj is verb & AdjN & NumN
Katla,Katla,kcr,Katla-Tima,Kordofanian,11d45 N,11.75,29d20 E,29.3333333333333,,,,,,Adj is verb & NAdj,,,,
Tima,Tima,tms,Katla-Tima,Kordofanian,11d40 N,11.6666666666667,29d15 E,29.25,,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Otoro,Otoro,otr,Heiban,Kordofanian,11d10 N,11.1666666666667,30d30 E,30.5,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Moro,Moro,mor,Heiban,Kordofanian,11d N,11,30d10 E,30.1666666666667,N-Dem-Num-A,Adj is verb & Adj further from noun than Num,Adj is verb & Adj further from noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj further from noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Masakin,Masakin,jle,Talodi,Kordofanian,10d40 N,10.6666666666667,30d E,30,,,,,,Adj is verb & NAdj,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Dan,Dan,dnj,Eastern Mande,Mande,7d30 N,7.5,8d W,-8,N-Num-A-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj further from noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Mona,Mona,moa,Eastern Mande,Mande,7d55 N,7.91666666666667,5d55 W,-5.91666666666667,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Busa,Busa,bqp,Eastern Mande,Mande,9d40 N,9.66666666666667,4d E,4,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Boko,Boko,bqc,Eastern Mande,Mande,10d30 N,10.5,3d30 E,3.5,,,,Lg has numeral classifiers & Num closer to noun than Dem,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Jeli,Jeli,jek,Western Mande,Mande,9d30 N,9.5,5d40 W,-5.66666666666667,Dem-N-A-Num,,,,,,,,,
Maninka (Western),Maninka (Western),mlq,Western Mande,Mande,13d N,13,11d W,-11,N-A-Dem-Num,,,,,,,,,
Mandinka (Gambian),Mandinka (Gambian),mnk,Western Mande,Mande,13d25 N,13.4166666666667,16d W,-16,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Xasonga,Xasonga,kao,Western Mande,Mande,14d15 N,14.25,10d30 W,-10.5,Dem-N-A-Num,,,,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Mauka,Mauka,mxx,Western Mande,Mande,8d20 N,8.33333333333333,7d30 W,-7.5,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Vai,Vai,vai,Western Mande,Mande,6d55 N,6.91666666666667,11d15 W,-11.25,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Jalonke,Jalonke,yal,Western Mande,Mande,10d10 N,10.1666666666667,11d W,-11,Dem-N-A-Num,,,,,,,,,
Bobo Madaré (Southern),Bobo Madar� (Southern),bwq,Western Mande,Mande,11d30 N,11.5,4d25 W,-4.41666666666667,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Dzùùngoo,Dz��ngoo,dnn,Western Mande,Mande,11d25 N,11.4166666666667,5d W,-5,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Donno So,Donno So,dds,Dogon,Dogon,14d20 N,14.3333333333333,3d30 W,-3.5,,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Jamsay,Jamsay,djm,Dogon,Dogon,14d25 N,14.4166666666667,2d30 W,-2.5,N-A-Dem-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Tommo So,Tommo So,dto,Dogon,Dogon,14d45 N,14.75,3d15 W,-3.25,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Katcha,Katcha,xtc,Kadugli,Kadu,10d50 N,10.8333333333333,29d40 E,29.6666666666667,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Krongo,Krongo,kgo,Kadugli,Kadu,10d30 N,10.5,30d E,30,,,,,,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Koyraboro Senni,Koyraboro Senni,ses,Songhay,Songhay,16d N,16,0d E,0,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Zarma,Zarma,dje,Songhay,Songhay,13d50 N,13.8333333333333,2d10 E,2.16666666666667,N-A-Num-Dem,,,,,,,,,
Koyra Chiini,Koyra Chiini,khq,Songhay,Songhay,17d N,17,3d W,-3,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Tadaksahak,Tadaksahak,dsq,Songhay,Songhay,16d40 N,16.6666666666667,2d20 E,2.33333333333333,N-Dem-Num-A,Adj is verb & Adj further from noun than Num,Adj is verb & Adj further from noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj further from noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Beria,Beria,zag,Eastern Saharan,Saharan,16d N,16,23d E,23,,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Kanuri,Kanuri,knc,Western Saharan,Saharan,12d N,12,13d E,13,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Tubu,Tubu,dzg,Western Saharan,Saharan,16d N,16,15d E,15,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Maba,Maba,mde,Maban,Maban,13d45 N,13.75,20d50 E,20.8333333333333,N-Num-A-Dem,Adj is not verb & Adj further from noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj further from noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Masalit,Masalit,mls,Maban,Maban,13d20 N,13.3333333333333,22d E,22,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Runga,Runga,rou,Maban,Maban,10d20 N,10.3333333333333,21d E,21,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,
Fur,Fur,fvr,Fur,Fur,13d30 N,13.5,25d E,25,Dem-N-Num-A,Adj is not verb & Adj further from noun than Num,,,Lg lacks numeral classifiers & Adj further from noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Nubian (Dongolese),Nubian (Dongolese),dgl,Nubian,East Sudanic,21d15 N,21.25,32d E,32,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Nubian (Kunuz),Nubian (Kunuz),xnz,Nubian,East Sudanic,24d N,24,33d E,33,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Midob,Midob,mei,Nubian,East Sudanic,15d5 N,15.0833333333333,26d15 E,26.25,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Murle,Murle,mur,Surmic,East Sudanic,6d30 N,6.5,33d30 E,33.5,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Baale,Baale,koe,Surmic,East Sudanic,6d30 N,6.5,34d30 E,34.5,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Tennet,Tennet,tex,Surmic,East Sudanic,4d25 N,4.41666666666667,32d30 E,32.5,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Majang,Majang,mpe,Surmic,East Sudanic,6d45 N,6.75,35d E,35,,,,,,Adj is verb & AdjN,,,,Adj is verb & AdjN & NNum
Koegu,Koegu,xwg,Surmic,East Sudanic,7d N,7,36d05 E,36.0833333333333,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Mursi,Mursi,muz,Surmic,East Sudanic,5d35 N,5.58333333333333,36d05 E,36.0833333333333,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Gaahmg,Gaahmg,tbi,Eastern Jebel,East Sudanic,11d30 N,11.5,34d E,34,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Nyimang,Nyimang,nyi,Nyimang,East Sudanic,12d10 N,12.1666666666667,29d20 E,29.3333333333333,,,,,,Adj is not verb & NAdj,,,,
Temein,Temein,teq,Temein,East Sudanic,11d55 N,11.9166666666667,29d25 E,29.4166666666667,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Tama,Tama,tma,Taman,East Sudanic,14d30 N,14.5,22d E,22,,,,,,Adj is not verb & NAdj,,,,
Shatt,Shatt,shj,Daju,East Sudanic,10d50 N,10.8333333333333,30d E,30,,,,,,,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Laggori,Laggori,liu,Daju,East Sudanic,11d10 N,11.1666666666667,29d50 E,29.8333333333333,N-Dem-A-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj further from noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Shilluk,Shilluk,shk,Nilotic,East Sudanic,9d40 N,9.66666666666667,31d45 E,31.75,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Anywa,Anywa,anu,Nilotic,East Sudanic,8d N,8,33d30 E,33.5,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Luo,Luo,luo,Nilotic,East Sudanic,0d30 S,-0.5,34d45 E,34.75,N-Num-A-Dem,Adj is verb & Adj further from noun than Num,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Lango,Lango,laj,Nilotic,East Sudanic,2d10 N,2.16666666666667,33d E,33,N-Num-A-Dem,,,,,,,,,
Acholi,Acholi,ach,Nilotic,East Sudanic,3d N,3,32d40 E,32.6666666666667,,,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is not verb & NAdj,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Bari,Bari,bfa,Nilotic,East Sudanic,5d N,5,31d40 E,31.6666666666667,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Maasai,Maasai,mas,Nilotic,East Sudanic,3d S,-3,36d E,36,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Camus,Camus,saq,Nilotic,East Sudanic,1d20 N,1.33333333333333,37d E,37,Dem-N-Num-A,,,,Lg lacks numeral classifiers & Adj further from noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Nyangatom,Nyangatom,nnj,Nilotic,East Sudanic,5d25 N,5.41666666666667,35d40 E,35.6666666666667,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Turkana,Turkana,tuv,Nilotic,East Sudanic,3d N,3,35d30 E,35.5,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
