N|Uuki,ngh,Tuu,Tuu,29d43S,19d05E,,,,,Lg lacks numeral classifiers & Adj further from noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Lolo (Yao’An),ycl,Burmese-Lolo,Sino-Tibetan,25d30N,101d18E,N-A-Dem-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num further from noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & NAdj,Adj is not verb & NAdj & NNum
Nuosu,iii,Burmese-Lolo,Sino-Tibetan,24dN,104dE,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Lalo,yik,Burmese-Lolo,Sino-Tibetan,25dN,100d15E,N-A-Dem-Num,,,Lg has numeral classifiers & Num further from noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Bisu,bzi,Burmese-Lolo,Sino-Tibetan,19d45N,100dE,N-A-Dem-Num,,,Lg has numeral classifiers & Num further from noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Akha,ahk,Burmese-Lolo,Sino-Tibetan,21d50N,99d50E,N-A-Dem-Num,,,Lg has numeral classifiers & Num further from noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Hani,hni,Burmese-Lolo,Sino-Tibetan,23dN,103dE,N-A-Dem-Num,,,Lg has numeral classifiers & Num further from noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Bai,bca,Bai,Sino-Tibetan,26dN,100dE,A-N-Dem-Num,,,Lg has numeral classifiers & Num further from noun than Dem,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Dulong,duu,Nungish,Sino-Tibetan,28dN,98d20E,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,,,
Rawang,raw,Nungish,Sino-Tibetan,27d30N,97d30E,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Anong,nun,Nungish,Sino-Tibetan,27d20N,98d45E,N-A-Dem-Num,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num further from noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Galo,adl,Tani,Sino-Tibetan,28d10N,94d40E,A-N-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NNum
Mising,mrg,Tani,Sino-Tibetan,28d30N,94d50E,,,,,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NNum
Miri (Hill),mrg,Tani,Sino-Tibetan,27d55N,93d50E,,,,,,,,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Tagin,dap,Tani,Sino-Tibetan,28dN,94d15E,,,,,,Adj is not verb & AdjN,,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,Adj is not verb & AdjN & NNum
Nishi,njz,Tani,Sino-Tibetan,27d30N,93d30E,,,,,Lg has numeral classifiers & Adj closer to noun than Num,,,,,
Apatani,apt,Tani,Sino-Tibetan,27d30N,93d45E,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & NAdj,Adj is not verb & NAdj & NNum
Idu,clk,Digaroan,Sino-Tibetan,29d20N,95d50E,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Digaro,mhu,Digaroan,Sino-Tibetan,28d25N,96dE,,,,,,Adj is verb & NAdj,,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Lepcha,lep,Lepcha,Sino-Tibetan,27d10N,88d30E,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Hmong Njua,hnj,Miao-Yao,Miao-Yao,28dN,105dE,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Xong,mmr,Miao-Yao,Miao-Yao,28d20N,109d40E,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Iu Mien,ium,Miao-Yao,Miao-Yao,24dN,111dE,,,,,,,,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Bunu (Younou),buh,Miao-Yao,Miao-Yao,24dN,107dE,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Hlai (Baoding),lic,Hlai,Tai-Kadai,19dN,109d30E,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Gelao,giq,Kadai,Tai-Kadai,22d55N,105d30E,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Dong (Southern),kmc,Kam-Tai,Tai-Kadai,27dN,109dE,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Sanjiang Kam,cov,Kam-Tai,Tai-Kadai,26d15N,109d35E,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Maonan,mmd,Kam-Tai,Tai-Kadai,25dN,108dE,,,,,,,,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Yay,pcc,Kam-Tai,Tai-Kadai,22d25N,104d45E,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Nung (in Vietnam),nut,Kam-Tai,Tai-Kadai,21d55N,106d25E,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Lao,lao,Kam-Tai,Tai-Kadai,18dN,103dE,,,,Lg has numeral classifiers & Num closer to noun than Dem,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Thai,tha,Kam-Tai,Tai-Kadai,16dN,101dE,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Yong,yno,Kam-Tai,Tai-Kadai,18d20N,99dE,,,,Lg has numeral classifiers & Num closer to noun than Dem,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,,,
Great Andamanese,akj,Great Andamanese,Great Andamanese,12dN,92d40E,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Jarawa (in Andamans),anq,South Andamanese,South Andamanese,12dN,92d35E,Dem-Num-N-A,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,Adj is not verb & NAdj & NumN
Shompen,--,Shompen,Shompen,7dN,93d45E,,,,,,,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Seediq,trv,Atayalic,Austronesian,24d10N,121d25E,Num-N-A-Dem,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,Adj is verb & NAdj & NumN
Rukai (Tanan),dru,Rukai,Austronesian,22d50N,120d50E,Dem-Num-A-N,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Tsou,tsu,Tsou,Austronesian,23d30N,120d45E,,,,,,Adj is verb & AdjN,,,,
Paiwan,pwn,Paiwan,Austronesian,22d30N,120d50E,,,,,,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Amis,ami,East Formosan,Austronesian,23d20N,121d20E,Dem-Num-A-N,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Chamorro,cha,Chamorro,Austronesian,13d27N,144d45E,,,,,,Adj is verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Palauan,pau,Palauan,Austronesian,7d30N,134d35E,Dem-Num-A-N,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Ilocano,ilo,Northern Luzon,Austronesian,16dN,121dE,,,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Mamanwa,mmn,Greater Central Philippine,Austronesian,9d25N,125d30E,,,,Lg has numeral classifiers & Num closer to noun than Dem,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,,,
Tboli,tbl,Bilic,Austronesian,6d10N,124d30E,Num-N-A-Dem,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Toratán,rth,Sangiric,Austronesian,1d05N,124d50E,Num-N-A-Dem,,,,,,,,,
Tondano,tdn,Minahasan,Austronesian,1d15N,125dE,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Muna,mnb,Celebic,Austronesian,5dS,122d30E,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Wolio,wlo,Celebic,Austronesian,5d30S,122d45E,Num-N-A-Dem,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NumN
Tukang Besi,khc,Celebic,Austronesian,5d30S,123d30E,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Pendau,ums,Celebic,Austronesian,0d15N,119d55E,Num-N-A-Dem,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,Adj is verb & NAdj & NumN
Padoe,pdo,Celebic,Austronesian,2d20N,121d20E,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Selayar,sly,South Sulawesi,Austronesian,6dS,120d30E,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Begak-Ida'an,dbj,North Borneo,Austronesian,5d15N,118d50E,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Timugon,tih,North Borneo,Austronesian,5dN,116dE,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NumN
Kimaragang,kqr,North Borneo,Austronesian,6d30N,116d50E,,,,,,Adj is verb & NAdj,,,,
Tatana',txx,North Borneo,Austronesian,5d30N,115d30E,Num-N-A-Dem,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NumN
Belait,beg,North Borneo,Austronesian,4d25N,114d25E,,,,,,Adj is verb & NAdj,,,,
Ma'anyan,mhy,Barito,Austronesian,2dS,115dE,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Bajau (West Coast),bdr,Sama-Bajaw,Austronesian,6d20N,116d20E,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Yakan,yka,Sama-Bajaw,Austronesian,6d30N,122dE,N-A-Num-Dem,,,,,,,,,
Lampung,ljp,Lampungic,Austronesian,5dS,105dE,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Nias,nia,Northwest Sumatra-Barrier Islands,Austronesian,1dN,97d45E,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Alas,btz,Northwest Sumatra-Barrier Islands,Austronesian,3d40N,97d50E,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Batak (Karo),btx,Northwest Sumatra-Barrier Islands,Austronesian,3d15N,98d15E,Num-N-A-Dem,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Gayo,gay,Northwest Sumatra-Barrier Islands,Austronesian,4d30N,97d30E,Num-N-A-Dem,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Moklen,mkm,Moklen-Moken,Austronesian,8d40N,98d15E,,,,,,,,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Moken,mwt,Moklen-Moken,Austronesian,12dN,98dE,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Sundanese,sun,Malayo-Sumbawan,Austronesian,7dS,107dE,Num-N-A-Dem,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Iban,iba,Malayo-Sumbawan,Austronesian,2dN,113dE,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Minangkabau,min,Malayo-Sumbawan,Austronesian,1dS,101dE,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Indonesian,ind,Malayo-Sumbawan,Austronesian,0dS,106dE,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Manadonese,xmm,Malayo-Sumbawan,Austronesian,1d30N,124d50E,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Acehnese,ace,Malayo-Sumbawan,Austronesian,5d30N,95d30E,Num-N-A-Dem,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,Adj is verb & NAdj & NumN
Cham (Eastern),cjm,Malayo-Sumbawan,Austronesian,11d20N,108d30E,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Cham (Western),cja,Malayo-Sumbawan,Austronesian,12dN,105d30E,,,,,,,,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Buru,agh,Central Malayo-Polynesian,Austronesian,3d30S,126d30E,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Batuley,bay,Central Malayo-Polynesian,Austronesian,5d45S,134d47E,N-A-Num-Dem,,,,,,,,,
Nuaulu,nxl,Central Malayo-Polynesian,Austronesian,3d15S,129d10E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Paulohi,plh,Central Malayo-Polynesian,Austronesian,3d15S,128d45E,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Selaru,slu,Central Malayo-Polynesian,Austronesian,8d15S,131dE,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Lamaholot,slp,Central Malayo-Polynesian,Austronesian,8d15S,122d55E,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Tetun,tet,Central Malayo-Polynesian,Austronesian,9dS,126dE,,,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,,Adj is not verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Tetun Dili,tet,Central Malayo-Polynesian,Austronesian,8d35S,125d35E,,,,Lg has numeral classifiers & Num closer to noun than Dem,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Tugun,tzn,Central Malayo-Polynesian,Austronesian,7d43S,126d45E,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Leti,lti,Central Malayo-Polynesian,Austronesian,8d12S,127d40E,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Manggarai,mqy,Central Malayo-Polynesian,Austronesian,8d30S,120d20E,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Keo,xxk,Central Malayo-Polynesian,Austronesian,8d50S,121d15E,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Irarutu,irh,South Halmahera - West New Guinea,Austronesian,3dS,133d30E,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Taba,mky,South Halmahera - West New Guinea,Austronesian,0dN,127d30E,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Mor,mhz,South Halmahera - West New Guinea,Austronesian,2d57S,135d45E,N-Dem-A-Num,,,,,,,,,
Biak,bhw,South Halmahera - West New Guinea,Austronesian,1dS,136dE,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Ambai,amk,South Halmahera - West New Guinea,Austronesian,1d50S,136d30E,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Warembori,wsa,South Halmahera - West New Guinea,Austronesian,1d40S,137d35E,N-A-Dem-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Yapese,yap,Yapese,Austronesian,9d35N,138d10E,Num-N-Dem-A,,Adj is not verb & Adj further from noun than Dem,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Maisin,mbq,Oceanic,Austronesian,9d30S,149d10E,N-A-Dem-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Sobei,sob,Oceanic,Austronesian,1d55S,138d45E,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Tobati,tti,Oceanic,Austronesian,2d35S,140d40E,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Arop-Sissano,aps,Oceanic,Austronesian,3d05S,142d05E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Kairiru,kxa,Oceanic,Austronesian,3d20S,143d35E,N-A-Num-Dem,,,,,,,,,
Takia,tbc,Oceanic,Austronesian,4d40S,146dE,N-A-Dem-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Sio,xsi,Oceanic,Austronesian,5d57S,147d20E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Arop-Lokep,apr,Oceanic,Austronesian,5d23S,147d03E,N-A-Num-Dem,,,,,,,,,
Awad Bing,bcu,Oceanic,Austronesian,5d36S,146d21E,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Maleu,mgl,Oceanic,Austronesian,5d43S,148d25E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
